word,translation,translation_en,translation_uk,group,tags,description,example_de,example_ru,example_uk
Ausflüge unternehmen,совершать экскурсии,to go on trips,здійснювати екскурсії,Повседневные действия,phrase;leisure,Устойчивое выражение,Am Wochenende unternehmen wir Ausflüge in die Berge.,По выходным мы совершаем вылазки в горы.,На вихідних ми здійснюємо екскурсії в гори.
mit den Kollegen ausgehen,ходить с коллегами,to go out with colleagues,ходити з колегами,Повседневные действия,phrase;leisure,ausgehen – выходить в свет,Nach Feierabend gehen wir manchmal mit den Kollegen aus.,После работы мы иногда ходим с коллегами.,Після роботи ми інколи ходимо з колегами.
stehen (stand, hat gestanden),стоять,to stand,стояти,Повседневные действия,verb;state,Сильный глагол,Der Bus steht schon an der Haltestelle.,Автобус уже стоит на остановке.,Автобус вже стоїть на зупинці.
einrichten (hat eingerichtet),обустраивать,to furnish,облаштовувати,Жилище,verb;home;separable,Отделяемый слабый глагол,Wir haben die neue Wohnung gemütlich eingerichtet.,Мы уютно обставили новую квартиру.,Ми затишно облаштували нову квартиру.
das Miethaus,арендный дом,apartment building,багатоквартирний будинок,Жилище,noun;home,Существительное среднего рода,In unserem Miethaus wohnen zwölf Familien.,В нашем доме живут двенадцать семей.,У нашому будинку живе дванадцять сімей.
der Mieter,квартиросъёмщик,tenant,наймач,Жилище,noun;home,Существительное мужского рода,Die Mieter müssen pünktlich bezahlen.,Квартиросъёмщики должны вовремя платить.,Наймачі повинні вчасно платити.
die Jahresablesung,годовое снятие показаний,annual meter reading,річне зняття показань,Жилище,noun;home,Существительное женского рода,Nächste Woche findet die Jahresablesung statt.,На следующей неделе состоится снятие показаний.,На наступному тижні буде зняття показань.
das Schwarze Brett,доска объявлений,notice board,дошка оголошень,Жилище,noun;home,Устойчивое выражение,Am Schwarzen Brett hängt eine Mitteilung.,На доске объявлений висит сообщение.,На дошці оголошень висить повідомлення.
die Treppe,лестница,stairs,сходи,Жилище,noun;home,Существительное женского рода,Die Treppe muss jede Woche geputzt werden.,Лестницу нужно мыть каждую неделю.,Сходи потрібно мити щотижня.
schmutzig,грязный,dirty,брудний,Жилище,adjective;home,Прилагательное,Deine Schuhe sind ganz schmutzig!,Твои ботинки совсем грязные!,Твої ботинки зовсім брудні!
benutzen (hat benutzt),пользоваться,to use,користуватися,Жилище,verb;home,Слабый глагол,Darf ich dein Handy benutzen?,Можно я воспользуюсь твоим телефоном?,Можу я користуватися твоїм телефоном?
stören (hat gestört),мешать,to disturb,заважати,Жилище,verb;home,Слабый глагол,Die Musik der Nachbarn stört mich.,Музыка соседей мешает мне.,Музика сусідів мені заважає.
der Gegenstand,предмет,object,предмет,Жилище,noun;object,Существительное мужского рода,Lassen Sie keine persönlichen Gegenstände stehen.,Не оставляйте личные вещи.,Не залишайте особисті речі.
die Mitteilung,сообщение,message,повідомлення,Жилище,noun;communication,Существительное женского рода,Der Vermieter hat eine wichtige Mitteilung geschickt.,Арендодатель отправил важное сообщение.,Орендодавець надіслав важне повідомлення.
der Gastgeber,хозяин,host,господар,Жилище,noun;people,Существительное мужского рода,Der Gastgeber hat uns herzlich empfangen.,Хозяин принял нас сердечно.,Господар привітав нас тепло.
das Viertel,квартал,quarter,район,Жилище,noun;place,Существительное среднего рода,Wir wohnen in einem ruhigen Viertel.,Мы живём в тихом квартале.,Ми живемо в тихому районі.
die Umgebung,окрестности,surroundings,окиця,Жилище,noun;place,Существительное женского рода,In der Umgebung gibt es viele Parks.,В окрестностях много парков.,В околиці багато парків.
die Fensterbank,подоконник,windowsill,підвіконня,Жилище,noun;home,Существительное женского рода,Auf der Fensterbank stehen viele Blumen.,На подоконнике стоят цветы.,На підвіконні стоять квіти.
der Staub,пыль,dust,пил,Жилище,noun;home,Существительное мужского рода,Auf dem Regal liegt viel Staub.,На полке много пыли.,На полиці багато пилу.
gemütlich,уютный,cosy,затишний,Жилище,adjective;home,Прилагательное,Unser Wohnzimmer ist sehr gemütlich.,Наша гостиная очень уютная.,Наша вітальня дуже затишна.
das Dreirad,трёхколёсный велосипед,tricycle,трьохколісний велосипед,Жилище,noun;object,Существительное среднего рода,Unser Sohn fährt gern mit seinem Dreirad.,Наш сын охотно катается на велосипеде.,Наш син охоче їздить на велосипеді.
hängen,висеть / вешать,to hang,висіти / вішати,Жилище,verb;home,Два глагола,Das Bild hängt an der Wand.,Картина висит на стене.,Картина висить на стіні.
der Kopfhörer,наушники,headphones,навушники,Жилище,noun;tech,Существительное мужского рода,Im Zug höre ich Musik mit Kopfhörern.,В поезде я слушаю музыку в наушниках.,У поїзді я слухаю музику в навушниках.
die Überwachungskamera,камера видеонаблюдения,surveillance camera,камера відеонагляду,Жилище,noun;tech,Существительное женского рода,Im Eingang wurde eine Überwachungskamera installiert.,У входа установили камеру видеонаблюдения.,У вході встановили камеру відеонагляду.
die Leine,верёвка,clothesline,мотузка,Жилище,noun;object,Существительное женского рода,Häng die Wäsche bitte auf die Leine.,Повесь белье на верёвку.,Повісь білизну на мотузку.
das Seil,канат,rope,трос,Жилище,noun;object,Существительное среднего рода,Wir haben das Boot mit einem Seil festgebunden.,Мы привязали лодку канатом.,Ми привязали човен тросом.
das Geschäft,магазин,shop,магазин,Работа и профессия,noun;work,Существительное среднего рода,Das Geschäft an der Ecke ist sonntags geschlossen.,Магазин на углу закрыт по воскресеньям.,Магазин на розі закритий у неділю.
geschäftlich,деловой,business-related,діловий,Работа и профессия,adjective;work,Прилагательное,Er ist geschäftlich in München unterwegs.,Он в Мюнхене по делам.,Він у Мюнхені по справах.
der Betriebsrat,производственный совет,works council,виробнича рада,Работа и профессия,noun;work,Существительное мужского рода,Der Betriebsrat vertritt die Interessen der Mitarbeiter.,Производственный совет представляет интересы сотрудников.,Виробнича рада представляє інтереси працівників.
die Betriebsversammlung,собрание трудового коллектива,staff meeting,виробниче засідання,Работа и профессия,noun;work,Существительное женского рода,Morgen findet eine Betriebsversammlung in der Kantine statt.,Завтра в столовой состоится собрание коллектива.,Завтра в їдальні буде виробниче засідання.
das Mitglied,член,member,член,Работа и профессия,noun;work,Существительное среднего рода,Sie ist Mitglied im Betriebsrat.,Она является членом производственного совета.,Вона є членом виробничої ради.
die Kündigung,увольнение,dismissal,звільнення,Работа и профессия,noun;work,Существительное женского рода,Er hat die Kündigung von seinem Chef bekommen.,Он получил увольнение от начальника.,Він отримав звільнення від начальника.
der Feierabend,конец рабочего дня,end of the working day,кінець робочого дня,Работа и профессия,noun;work,Существительное мужского рода,Um 17 Uhr mache ich Feierabend.,В 17 часов я заканчиваю работу.,О 17:00 я закінчую роботу.
die Leihfirma,фирма временного найма,temp agency,агенція тимчасової зайнятості,Работа и профессия,noun;work,Существительное женского рода,Er arbeitet über eine Leihfirma.,Он работает через фирму временного найма.,Він працює через агенцію тимчасової зайнятості.
die Untervergabe,субподряд,subcontracting,субпідряд,Работа и профессия,noun;work,Существительное женского рода,Die Firma spart Kosten durch Untervergabe.,Фирма экономит расходы за счёт субподряда.,Фірма економить витрати за рахунок субпідряду.
das Outsourcing,аутсорсинг,outsourcing,аутсорсинг,Работа и профессия,noun;work,Существительное среднего рода,Outsourcing hat viele Arbeitsplätze gekostet.,Аутсорсинг стоил много рабочих мест.,Аутсорсинг коштував багато робочих місць.
die Unterschrift,подпись,signature,підпис,Работа и профессия,noun;document,Существительное женского рода,Der Vertrag ist ohne Unterschrift nicht gültig.,Договор без подписи недействителен.,Контракт без підпису недійсний.
der Teilnehmer,участник,participant,учасник,Работа и профессия,noun;people,Существительное мужского рода,Alle Teilnehmer bekommen ein Zertifikat.,Все участники получают сертификат.,Усі учасники отримують сертифікат.
durchschnittlich,в среднем,on average,в середньому,Работа и профессия,adverb;quantity,Наречие,Ich arbeite durchschnittlich 40 Stunden pro Woche.,Я работаю в среднем 40 часов в неделю.,Я працюю в середньому 40 годин на тиждень.
Vollzeit / Teilzeit,полная / частичная занятость,full-time / part-time,повна / неповна зайнятість,Работа и профессия,noun;work,in Vollzeit / in Teilzeit arbeiten,Sie arbeitet in Teilzeit.,Она работает на неполную ставку.,Вона працює неповний робочий день.
die Bewerbung,заявление о приёме на работу,job application,заявка на роботу,Работа и профессия,noun;work,Существительное женского рода,Ich habe meine Bewerbung abgeschickt.,Я отправил своё резюме.,Я відправив свою заявку.
das Bewerbungstraining,тренинг по трудоустройству,job application training,тренінг з трудоустрою,Работа и профессия,noun;work,Существительное среднего рода,Im Training üben wir Vorstellungsgespräche.,На тренинге мы отрабатываем собеседования.,На тренінгу ми практикуємо співбесіди.
der Lebenslauf,резюме,CV,резюме,Работа и профессия,noun;document,Существительное мужского рода,Bitte schicken Sie uns Ihren Lebenslauf.,Пожалуйста пришлите нам ваше резюме.,Будь ласка надішліть нам ваше резюме.
das Berufsvorbereitungsjahr,год профессиональной подготовки,vocational preparation year,рік професійної підготовки,Работа и профессия,noun;education,Существительное среднего рода,Nach der Schule hat er ein Berufsvorbereitungsjahr gemacht.,После школы он прошёл год профессиональной подготовки.,Після школи він пройшов рік професійної підготовки.
die Anzeige,объявление,advertisement,оголошення,Работа и профессия,noun;media,Существительное женского рода,Ich habe die Stelle über eine Anzeige gefunden.,Я нашёл эту работу по объявлению.,Я знайшов цю роботу за оголошенням.
die Veranstaltung,мероприятие,event,захід,Работа и профессия,noun;event,Существительное женского рода,Die Veranstaltung findet am Samstag statt.,Мероприятие состоится в субботу.,Захід відбудеться у суботу.
stattfinden,состояться,to take place,відбуватися,Работа и профессия,verb;event;separable,Отделяемый сильный глагол,Das Konzert findet trotz Regens statt.,Концерт состоится несмотря на дождь.,Концерт відбудеться попри дощ.
der Beitrag,взнос,contribution,внесок,Работа и профессия,noun;money,Существительное мужского рода,Der Beitrag beträgt 20 Euro pro Monat.,Взнос составляет 20 евро в месяц.,Внесок становить 20 євро на місяць.
der/die Azubi,ученик,trainee,стажер,Работа и профессия,noun;people,Существительное,Unsere Firma stellt jedes Jahr fünf neue Azubis ein.,Наша фирма каждый год принимает пять новых стажёров.,Наша фірма щороку приймає п'ять нових стажерів.
beauftragen,поручать,to commission,доручати,Работа и профессия,verb;work,Слабый глагол,Der Chef hat mich mit dem Projekt beauftragt.,Начальник поручил мне проект.,Начальник доручив мені проект.
freiwillig,добровольно,voluntary,добровільно,Работа и профессия,adjective;character,Прилагательное,Sie arbeitet freiwillig in einem Tierheim.,Она работает добровольно в приюте.,Вона добровільно працює в притулку.
das Unternehmen,предприятие,company,підприємство,Работа и профессия,noun;work,Существительное среднего рода,Das Unternehmen hat tausend Mitarbeiter.,На предприятии работает тысяча сотрудников.,На підприємстві працює тисяча працівників.
die Krankmeldung,больничный,sick note,лікарняна,Работа и профессия,noun;work,Существительное женского рода,Schicken Sie die Krankmeldung bitte spätestens am dritten Tag.,Пожалуйста пришлите больничный не позднее третьего дня.,Будь ласка надішліть лікарняну не пізніше третього дня.
der Schiedsrichter,судья,referee,арбітр,Работа и профессия,noun;sport,Существительное мужского рода,Der Schiedsrichter zeigt dem Spieler die rote Karte.,Судья показывает игроку красную карточку.,Арбітр показує гравцю червону карточку.
anrufen,звонить,to call,дзвонити,Телефон и коммуникация,verb;phone;separable,Отделяемый сильный глагол,Ich rufe dich heute Abend an.,Я позвоню тебе сегодня вечером.,Я тобі дзвоню сьогодні вечером.
der Anrufbeantworter,автоответчик,answering machine,автовідповідач,Телефон и коммуникация,noun;phone,Существительное мужского рода,Hinterlassen Sie eine Nachricht auf dem Anrufbeantworter.,Оставьте сообщение на автоответчике.,Залиште повідомлення на автовідповідачі.
verbinden,соединять,to connect,з'єднувати,Телефон и коммуникация,verb;phone,Сильный глагол,Können Sie mich bitte mit Frau Müller verbinden?,Не могли бы вы соединить меня с госпожой Мюллер?,Не могли б ви з'єднати мене з пані Мюллер?
durchstellen,переводить звонок,to put through,переводити виклик,Телефон и коммуникация,verb;phone;separable,Отделяемый слабый глагол,Ich stelle Sie zur Personalabteilung durch.,Я переключаю вас на отдел кадров.,Я переводжу вас до відділу кадрів.
die Auskunft,справка,information,довідка,Телефон и коммуникация,noun;communication,Существительное женского рода,Können Sie mir eine Auskunft geben?,Не могли бы вы дать мне справку?,Не могли б ви дати мені довідку?
die Bestätigung,подтверждение,confirmation,підтвердження,Телефон и коммуникация,noun;document,Существительное женского рода,Sie bekommen die Bestätigung per E-Mail.,Вы получите подтверждение по электронной почте.,Ви отримаєте підтвердження електронною поштою.
bestätigen,подтверждать,to confirm,підтверджувати,Телефон и коммуникация,verb;communication,Слабый глагол,Bitte bestätigen Sie den Termin.,Пожалуйста подтвердите встречу.,Будь ласка підтвердіть зустріч.
erreichen,достигать,to reach,досягти,Телефон и коммуникация,verb;communication,Слабый глагол,Ich konnte dich nicht erreichen.,Я не смог до тебя дозвониться.,Я не міг до тебе дозвонитися.
ablehnen,отклонять,to decline,відхиляти,Телефон и коммуникация,verb;communication;separable,Отделяемый слабый глагол,Er hat das Jobangebot abgelehnt.,Он отклонил предложение о работе.,Він відхилив пропозицію роботи.
der Einkaufswagen,тележка для покупок,shopping trolley,візок для покупок,Покупки и сервис,noun;shopping,Существительное мужского рода,Für den Einkaufswagen braucht man eine Münze.,Для тележки нужна монета.,Для візка потрібна монета.
die Kellnerin,официантка,waitress,офіціантка,Покупки и сервис,noun;people,Существительное женского рода,Die Kellnerin bringt uns die Speisekarte.,Официантка приносит нам меню.,Офіціантка приносить нам меню.
zufrieden sein mit,быть довольным,to be satisfied with,бути задоволеним,Покупки и сервис,phrase;emotion;preposition,Прилагательное с предлогом,Ich bin mit dem Service zufrieden.,Я доволен обслуживанием.,Я задоволений обслуговуванням.
reklamieren,предъявлять претензию,to complain,скаржитися,Покупки и сервис,verb;shopping,Слабый глагол,Die Jacke hat ein Loch ich möchte sie reklamieren.,У куртки дырка я хочу предъявить претензию.,У куртки дірка я хочу скаржитися.
die Reklamation,рекламация,complaint,скарга,Покупки и сервис,noun;shopping,Существительное женского рода,Mit Reklamationen wenden Sie sich an den Kundenservice.,С рекламациями обращайтесь в службу поддержки.,Зі скаргами звертайтесь до служби підтримки.
die Beschwerde,жалоба,complaint,скарга,Покупки и сервис,noun;communication,Существительное женского рода,Wir haben mehrere Beschwerden über Lärm bekommen.,Мы получили несколько жалоб на шум.,Ми отримали кілька скарг на шум.
der Fehler,ошибка,mistake,помилка,Покупки и сервис,noun;abstract,Существительное мужского рода,In der Rechnung ist ein Fehler.,В счёте ошибка.,У рахунку помилка.
Stimmt so!,Сдачи не надо!,Keep the change!,Решта не потрібна!,Покупки и сервис,phrase;shopping,Разговорная фраза,Das macht 18,50 Euro stimmt so!,С вас 18,50 евро сдачи не надо.,Це 18,50 євро решта не потрібна!
die Ermäßigung,скидка,discount,знижка,Покупки и сервис,noun;money,Существительное женского рода,Studenten bekommen eine Ermäßigung.,Студенты получают скидку.,Студенти отримують знижку.
die Gebühr,сбор,fee,збір,Покупки и сервис,noun;money,Существительное женского рода,Für den Kurs müssen Sie eine Gebühr bezahlen.,За курс вы должны заплатить сбор.,За курс ви повинні заплатити збір.
zusätzlich,дополнительно,additionally,додатково,Покупки и сервис,adverb;quantity,Наречие,Für das Gepäck müssen Sie zusätzlich zahlen.,За багаж вы должны заплатить дополнительно.,За багаж ви повинні заплатити додатково.
einverstanden,согласен,agreed,згідні,Покупки и сервис,adjective;communication,einverstanden sein mit,Bist du einverstanden?,Ты согласен?,Ти згідний?
sparen,экономить,to save,заощаджувати,Покупки и сервис,verb;money,Слабый глагол,Wir sparen für ein neues Auto.,Мы копим на новую машину.,Ми заощаджуємо на новий автомобіль.
umsonst,бесплатно,free of charge,безплатно,Покупки и сервис,adverb;money,Два значения,Der Eintritt ist heute umsonst.,Вход сегодня бесплатный.,Вхід сьогодні безплатний.
kostenpflichtig,платный,subject to a charge,платний,Покупки и сервис,adjective;money,Прилагательное,Das Parken ist hier kostenpflichtig.,Парковка здесь платная.,Парковка тут платна.
dazuzahlen,доплачивать,to pay extra,доплачувати,Покупки и сервис,verb;money;separable,Отделяемый слабый глагол,Für den Fensterplatz muss man dazuzahlen.,За место у окна нужно доплатить.,За місце біля вікна треба доплатити.
die Geldbörse,кошелёк,wallet,гаманець,Покупки и сервис,noun;object,Существительное женского рода,Ich habe meine Geldbörse verloren.,Я потерял свой кошелёк.,Я втратив свій гаманець.
verlieren,терять,to lose,втрачати,Покупки и сервис,verb;action,Сильный глагол,Wo hast du deinen Schlüssel verloren?,Где ты потерял свой ключ?,Де ти втратив свій ключ?
die Seife,мыло,soap,мило,Покупки и сервис,noun;object,Существительное женского рода,Wasch dir die Hände mit Seife!,Помой руки с мылом!,Вимий руки з милом!
die Flüssigseife,жидкое мыло,liquid soap,рідке мило,Покупки и сервис,noun;object,Существительное женского рода,Im Bad steht ein Spender mit Flüssigseife.,В ванной стоит дозатор с жидким мылом.,У ванній стоїть дозатор з рідким милом.
einsteigen,садиться,to get on,сідати,Транспорт и путешествия,verb;transport;separable,Отделяемый сильный глагол,Wir sind in Frankfurt in den Zug eingestiegen.,Мы сели в поезд во Франкфурте.,Ми сіли в поїзд у Франкфурті.
aussteigen,выходить,to get off,виходити,Транспорт и путешествия,verb;transport;separable,Отделяемый сильный глагол,Sie müssen an der nächsten Haltestelle aussteigen.,Вам нужно выйти на следующей остановке.,Вам потрібно вийти на наступній зупинці.
die Ankunft,прибытие,arrival,прибуття,Транспорт и путешествия,noun;transport,Существительное женского рода,Die Ankunft des Zuges ist um 14:30 Uhr.,Прибытие поезда в 14:30.,Прибуття поїзда о 14:30.
die Abfahrt,отправление,departure,відправлення,Транспорт и путешествия,noun;transport,Существительное женского рода,Die Abfahrt verspätet sich um zehn Minuten.,Отправление задерживается на десять минут.,Відправлення затримується на десять хвилин.
die Verspätung,опоздание,delay,затримка,Транспорт и путешествия,noun;transport,Существительное женского рода,Der Zug hat 20 Minuten Verspätung.,Поезд опаздывает на 20 минут.,Поїзд запізнюється на 20 хвилин.
